outer_iter,iter,time,x,y,z,vx,vy,vz
0,1,204.03,-6.87067e-05,49.9371,24.9394,-9.89458e-06,-0.00031233,-0.000964546
0,1,205.03,-7.78274e-05,49.9369,24.9385,-8.31416e-06,-0.0002296,-0.000925119
0,1,206.03,-8.53792e-05,49.9367,24.9376,-6.76114e-06,-0.000157069,-0.00089415
0,1,207.03,-9.14015e-05,49.9365,24.9367,-5.25886e-06,-9.40815e-05,-0.00087109
0,1,208.03,-9.59546e-05,49.9365,24.9358,-3.82642e-06,-3.99555e-05,-0.00085537
0,1,209.03,-9.9116e-05,49.9365,24.935,-2.47896e-06,6.00194e-06,-0.000846411
0,1,210.03,-0.000100977,49.9365,24.9341,-1.2279e-06,4.44847e-05,-0.000843633
0,1,211.031,-0.000101637,49.9365,24.9333,-8.1287e-08,7.6178e-05,-0.000846463
0,1,212.031,-0.000101204,49.9366,24.9324,9.55875e-07,0.000101751,-0.000854342
0,1,213.031,-9.97892e-05,49.9367,24.9316,1.88133e-06,0.000121851,-0.000866728
0,1,214.031,-9.75034e-05,49.9369,24.9307,2.69521e-06,0.000137096,-0.000883105
0,1,215.031,-9.44574e-05,49.937,24.9298,3.39975e-06,0.000148076,-0.000902979
0,1,216.031,-9.07589e-05,49.9372,24.9289,3.99892e-06,0.000155344,-0.000925886
0,1,217.031,-8.65104e-05,49.9373,24.9279,4.49821e-06,0.00015942,-0.000951392
0,1,218.032,-8.18088e-05,49.9375,24.927,4.90426e-06,0.000160785,-0.000979094
0,1,219.032,-7.67434e-05,49.9376,24.926,5.22468e-06,0.000159884,-0.00100862
0,1,220.032,-7.13959e-05,49.9378,24.9249,5.46776e-06,0.000157124,-0.00103963
0,1,221.032,-6.58393e-05,49.938,24.9239,5.64227e-06,0.000152877,-0.00107181
0,1,222.032,-6.01378e-05,49.9381,24.9228,5.75725e-06,0.000147476,-0.00110489
0,1,223.032,-5.43463e-05,49.9383,24.9217,5.82181e-06,0.000141222,-0.00113861
0,1,224.032,-4.85108e-05,49.9384,24.9205,5.84503e-06,0.000134383,-0.00117275
0,1,225.033,-4.26682e-05,49.9385,24.9193,5.83574e-06,0.000127194,-0.00120713
0,1,226.033,-3.6847e-05,49.9386,24.9181,5.80243e-06,0.000119861,-0.00124157
0,1,227.033,-3.1067e-05,49.9388,24.9169,5.75315e-06,0.000112562,-0.00127592
0,1,228.033,-2.53406e-05,49.9389,24.9156,5.69541e-06,0.000105449,-0.00131007
0,1,229.033,-1.96728e-05,49.939,24.9142,5.63606e-06,9.86495e-05,-0.00134393
0,1,230.033,-1.40622e-05,49.9391,24.9129,5.58128e-06,9.22692e-05,-0.00137741
0,1,231.034,-8.50146e-06,49.9392,24.9115,5.53647e-06,8.6393e-05,-0.00141045
0,1,232.034,-2.97837e-06,49.9392,24.9101,5.5062e-06,8.10872e-05,-0.00144302
0,1,233.034,2.52345e-06,49.9393,24.9086,5.49414e-06,7.64003e-05,-0.0014751
0,1,234.034,8.02356e-06,49.9394,24.9071,5.50303e-06,7.23646e-05,-0.00150667
0,1,235.034,1.35437e-05,49.9395,24.9056,5.53454e-06,6.89969e-05,-0.00153776
0,1,236.034,1.91069e-05,49.9395,24.904,5.58927e-06,6.62995e-05,-0.00156839
0,1,237.034,2.47361e-05,49.9396,24.9024,5.66665e-06,6.42604e-05,-0.0015986
0,1,238.035,3.04529e-05,49.9397,24.9008,5.76483e-06,6.28542e-05,-0.00162845
0,1,239.035,3.62766e-05,49.9397,24.8992,5.88065e-06,6.20423e-05,-0.00165801
0,1,240.035,4.22226e-05,49.9398,24.8975,6.00953e-06,6.17726e-05,-0.00168739
0,2,0,10,-35,5,0,0,0
